ID,Title,Upvotes,Sentiment,Synopsis
I_kwDOObWEYM69wse4,Failed to login. Message: request to https://cloudcode-pa.googleapis.com/v1internal:loadCodeAssist failed,1,🐛,"### What happened?  Was running gemini-cli, suddenly it stopped. And wouldn't work giving some api error message. Then upon restart, I was logged out. And upon "
I_kwDOObWEYM69wSdl,Segfault in musl libc distros,0,💻,### What happened?  Installed gemini-cli using npm and a segfault happened when i runned it.  ### What did you expect to happen?  Just run as normal  ### Client
I_kwDOObWEYM69wJrY,Feature Request: Support Batch Tool Calls in a Single Turn,0,✨,### What would you like to be added?  I propose a fundamental enhancement to Gemini CLI: the ability to process a batch of tool calls returned in a single model
I_kwDOObWEYM69wAsi,"Gemini approved and merged a PR that I had asked it to help me review, without my permission.",0,💻,"### What happened?  I started a fresh session and said ""> We have a set of open PRs for this repo. I want to review each of them one by one. Show me the diff , "
I_kwDOObWEYM69vruZ,None of the commands are being run on Win 10,1,💻,"### What happened?  Windows 10 22H2 None of the commands are being run (dir, cmd, powershell etc)  Test prompt: find large files in current dir  Tries to run al"
I_kwDOObWEYM69vp6f,npx-ing the repo in Windows doesn't always work,0,💻,"### What happened?  So, I've been using the cli since the last day and I noticed that running `npx https://github.com/google-gemini/gemini-cli` does not always "
I_kwDOObWEYM69vZwE,Detect default VSCodium installation on macOS (homebrew),1,👍,"### What would you like to be added?  Like #1695, but VSCodium installed via homebrew on macOS - It would be nice for it to be a vailid editor.  ### Why is this"
I_kwDOObWEYM69vZoO,Support Desktop Extensions (.dxt files) to simplify MCP setup,0,👍,### What would you like to be added?  See https://support.anthropic.com/en/articles/10949351-getting-started-with-model-context-protocol-mcp-on-claude-for-deskt
I_kwDOObWEYM69vXEk,input starting with comment lines is not recognised and raises an error.,0,🐛,### What happened?  ![Image](https://github.com/user-attachments/assets/b3c12bfe-145b-41b7-bcff-e6d6c216c48f)  ### What did you expect to happen?  it should par
I_kwDOObWEYM69vPCN,GenerateContentRequest.tools[0].function_declarations[22].parameters.properties[url].format: only 'enum' and 'date-time' are supported for STRING type,0,✨,"### What happened?  ✕ [API Error: got status: 400 Bad Request. {""error"":{""message"":""{\n  \""error\"": {\n    \""code\"": 400,\n    \""message\"": \""*    GenerateConte"
I_kwDOObWEYM69vLPW,"Entering certain punctuation characters in the input, such as `：？。]`, causes an error.",0,🐛,### Bug Report  **Summary:** Entering certain Japanese punctuation characters during IME composition (such as `：？。]`) sometimes causes the terminal to crash wit
I_kwDOObWEYM69v6py,Force to use Pro Model,9,👍,### What would you like to be added?  Is there a way to tell gemini to use pro model only and not to switch to flash.   ### Why is this needed?  Well just now i
I_kwDOObWEYM69ujZe,gemini --resume,4,👍,"### What would you like to be added?  **Support `gemini --resume`**   ### Why is this needed?  Assuming feature parity with Claude Code (Claude Code, what's tha"
I_kwDOObWEYM69ujO4,Minor UX Issue with Command Display on Linux Terminal,0,👍,"### What would you like to be added?  Hi, I've encountered an issue that drove me crazy for a while — it's more of a UX/UI problem. The commands suggested by Ge"
I_kwDOObWEYM69ud9l,"Tool ""run_shell_command"" not found when attempting to check disk space",0,💻,"### What happened?  When I asked the Gemini CLI to check the remaining disk space on my computer using the prompt `'how much space on my pc left??'`, the tool c"
I_kwDOObWEYM69uYBh,Suggesting mcpServers Merge Behavior Instead of Full Overwrite,0,👍,### What would you like to be added?  1. I would like to suggest that the `mcpServers` configuration in Gemini CLI support **per-key merging** instead of being 
I_kwDOObWEYM69uXRO,"python bug , fix \n error.",0,🐛,### What happened?             for state in state_chain:                                                                                │  │    256  -          
I_kwDOObWEYM69uLaT,Incomplete TypeScript Error Messages Sent to Agent Hinders Debugging,0,🐛,"### What happened?  Problem Description:   When running TypeScript compilation commands (e.g., npx tsc --noEmit -p <project_path>), the output received by the G"
I_kwDOObWEYM69uGMC,Gemini CLI crashes in VS Code,0,💻,"### What happened?  Using CLI in VS Code, Testing a website changes locally,  sometimes Gemini CLI crashes and VS Code closes automatically  ### What did you ex"
I_kwDOObWEYM69u8rZ,Cant login with API key,1,📝,"### What happened?  When I attempted to log in using an API key, a browser page for Google account login appeared instead.  ### What did you expect to happen?  "
I_kwDOObWEYM69u3av,autoAccept option not working in Gemini CLI,0,📝,"### What happened?  Hello, I've set the autoAccept option to true in the Gemini CLI settings, but it still prompts me to manually accept or reject each request."
I_kwDOObWEYM69tzEF,Rate limiting detected. Automatically switching from gemini-2.5-pro to gemini-2.5-flash for    faster responses for the remainder of this session.,1,👎," ## Describe the bug  a simple prompt ""commit the changes"" results in endless  ℹ ⚡ Rate limiting detected. Automatically switching from gemini-2.5-pro to gemini"
I_kwDOObWEYM69toRY,Authentication process hangs in terminal after successful browser authorization,0,💻,"### What happened?  When I attempt to authorize the gemini-cli by selecting option [1] Authorize, I am correctly redirected to the Google authentication page in"
I_kwDOObWEYM69tkZr,Feature Request: Option to Disable Automatic Model Fallback (Pro to Flash),18,✨,"### What would you like to be added?  Desired Behavior/Feature Request:  I would like to request an option (e.g., a command-line flag or a setting in settings.j"
I_kwDOObWEYM69tZyW,terminal lag and crash after file search,0,📝,"### What happened?  When i try to navigate to a file or folder from gemini cli with ""@"" it starts to crash the terminal window or just freeze it  This is a majo"
I_kwDOObWEYM69tFVG,Gemini CLI on Windows ignores config.json and model parameter,0,💻,"### What happened?  The Gemini CLI persistently defaults to the ""gemini-2.5-pro"" model and ignores all attempts to change it. I tried setting the model to ""gemi"
I_kwDOObWEYM69szCO,Auth issue,0,👎,### What happened?  Getting the following error when loged in though google :    ⚡ Slow response times detected. Automatically switching from gemini-2.5-pro to 
I_kwDOObWEYM69ssv8,Docs on shell use tool incorrectly claim default shell is used,0,👍,### What happened?  The [docs](https://github.com/google-gemini/gemini-cli/blob/main/docs/cli/commands.md#shell-mode--passthrough-commands-) on shell-mode and s
I_kwDOObWEYM69sjFe,System is getting stuck,0,📝,### What happened?  The system gets stuck while working on something.  See the picture.  There is no error it just gets stuck.  ![Image](https://github.com/user
I_kwDOObWEYM69sgWV,Unusual Behavior of Gemini 2.5 Flash Model After Hitting Rate Limits in the CLI tool,3,📝,# Bug Report  ## Description The Gemini 2.5 Flash model exhibits unusual behavior after encountering rate limits.  ## Additional Context When using the Gemini C
I_kwDOObWEYM69sXck,API Errors for every authorization method,0,🐛,"### What happened?  When authorization through ""Login with Google"", I get the following error:  ✕ [API Error: [{     ""error"": {       ""code"": 400,       ""messag"
I_kwDOObWEYM69sXc9,Bug in Gemini-CLI,0,🐛,### What happened?  when @ is used in any form console stops repsponding   ### What did you expect to happen?  continue to work   ### Client information   *   *
I_kwDOObWEYM69sSMW,positioning cursor in command prompt,0,👍,### What would you like to be added?  It would be nice if it would possible to position the cursor to the front of the command prompt with key 'POS1' and to the
I_kwDOObWEYM69sF1M,Input token count is cooked,0,📝,"### What happened?  Saying ""Hi"" cost me over 9k tokens  ![Image](https://github.com/user-attachments/assets/4ff88c32-7c4e-422a-a950-e4a49911c85d)  ![Image](http"
I_kwDOObWEYM69sCE2,Bug: /chat save fails silently when no tag is provided,2,🐛,"### What happened?  When using the `/chat save` command without providing a tag, the command does not return an error. It prints a confirmation message ""Convers"
I_kwDOObWEYM69s3DJ,Gemini API Auth Issue,0,👍, ![Image](https://github.com/user-attachments/assets/5a5ca45e-c3ca-4924-8d5e-2e1db849904e)  ### What would I like to be added?  A  prompt or input option that a
I_kwDOObWEYM69ryPz,showing title of gemini,0,📝,"### What happened?  when i type message, gemini logo is showing and scrolling back to top  ### What did you expect to happen?  i need to fix that bug  ### Clien"
I_kwDOObWEYM69roHV,Gemini cli sdk request,0,✨,"### What would you like to be added?  Hello everyone, I would like to request a new feature similar to the Claude Code SDK for integrating this tool into our Py"
I_kwDOObWEYM69rl-X,Cannot switch to gemini-2.5-pro,11,📝,"### What happened?  After setting GEMINI_API_KEY and GEMINI_MODEL=""gemini-2.5-pro"" and running gemini, it shows the Pro model at the beginning and then switches"
I_kwDOObWEYM69rjGs,Support glob patterns for `contextFileName` setting,1,👍,### What would you like to be added?  Glob pattern support for `contextFileName` setting.  ### Why is this needed?  Currently `contextFileName` property in `set
I_kwDOObWEYM69rhkw,Error,0,🐛,### What happened?  Debug Console (ctrl+o to close)                                                                                                             
I_kwDOObWEYM69rf5m,When I try to search a folder on my system it's freezes and gets laggy,0,📝, ## Describe the bug When I try to search a folder on my system it's freezes and gets laggy  (when doing the @ and start searching then it's freezes)  ## Additi
I_kwDOObWEYM69rDzm,Add `/sessions` or `/history` command like Atlassian's RovoDev CLI or Cline/RooCode,3,👍,### What would you like to be added?  This has much better UX than `/chat save` because it saves tasks automatically.  This is exactly how it works in Cline/Roo
I_kwDOObWEYM69r6mA,Allow Gemini to access files outside the working directory,0,👍,### What would you like to be added?  I would like to allow Gemini to access files outside my working directory.    ### Why is this needed?  I am working in a m
I_kwDOObWEYM69r3fl,"GEMINI.md should implement '@' file import syntax, similar to CLAUDE.md",2,👍,"### What would you like to be added?  `GEMINI.md` files should be able to refer to other files using the same '@path' syntax as in user prompts.  Ideally, match"
I_kwDOObWEYM69qwLN,Can't access Gemini CLI after installing using npm on windows,0,💻,### What happened?  I installed the gemini cli using the command  ``` npm install -g @google/gemini-cli ```  But when i'm trying to launch the cli with `gemini`
I_kwDOObWEYM69qX9j,Envvar GOOGLE_*_BASE_URL not being propagated to sandbox,0,💻,"### What happened?  Thanks to the LiteLLM Team and gemini-cli Team, it's now possible to use gemini-cli via LiteLLM Proxy by setting the undocumented @google/ge"
I_kwDOObWEYM69qW2f,🚀 Implement Next.js Web Wrapper for CPA AI Agent - Fast Deployment Strategy,0,💻,## 🎯 Objective  Create a Next.js web wrapper for the Gemini CLI to enable CPA AI Agent functionality through a web interface. This implements the **fast deploym
I_kwDOObWEYM69qMOG,Clarification request: file access scope when running CLI in home directory,1,✨,"Hello Google Gemini Team,   Thank you for open-sourcing Gemini CLI and making such a powerful tool freely available to developers. It’s such a great contributio"
I_kwDOObWEYM69qMJQ,Add more information about the system to the promt,0,👍,### What would you like to be added?  I think we need to add more information about the system for the AI such as OS version (for example ubuntu and debian have
I_kwDOObWEYM69qC9T,Incorrect or missing instructions for Gemini CLI authentication setup across platforms,0,💻,"### What happened?  There was no official, consolidated guide for setting up Gemini CLI authentication tailored for different operating systems (Windows, macOS,"
I_kwDOObWEYM69q59Q,Not able to use remote MCP serves which require OAuth2.x authentication,0,👍,"### What happened?  I have a configuration for remote MCP server like: ```  ""mcpServers"": {     ""myMCP"": {       ""httpUrl"": ""https://example.org/chat/mcp/messag"
I_kwDOObWEYM69q0vz,Authentication error when using Gemini CLI with VertexAI configuration,0,🐛,### What happened?  I'm encountering an authentication error when trying to use Gemini CLI with VertexAI configuration.  ### What did you expect to happen?  Gem
I_kwDOObWEYM69puoV,总是直接切换从flash模型,1,💻,### What happened?  总是一会就切换成flash模型。  ### What did you expect to happen?  希望能像claude code一样可选。  ### Client information  <details>  ```console $ gemini /about # 
I_kwDOObWEYM69ptdG,Comprehensive cross-platform compatibility framework and native ARM64 support,0,👎,"## Summary  Implement comprehensive cross-platform compatibility framework with native ARM64 support, automated testing across architectures, and platform-speci"
I_kwDOObWEYM69pswg,Enhanced error diagnostics with actionable error messages and automatic recovery suggestions,0,🐛,"## Summary  Implement a comprehensive error diagnostics system that provides actionable error messages, automatic environment validation, and guided recovery st"
I_kwDOObWEYM69psqV,Log in bug,1,🐛,"### What happened?  Does not let me log in with any acc: Tips for getting started: 1. Ask questions, edit files, or run commands. 2. Be specific for the best re"
I_kwDOObWEYM69psE9,npm run dev cannot view output information,0,💻,### What happened?  ![Image](https://github.com/user-attachments/assets/f8fc7bc1-0f30-4e67-a68f-49ff0c9254dd) npm run dev cannot view output information  ### Wh
I_kwDOObWEYM69pr8y,Gemini 2.5 flash works. But how can we use Gemini 2.5 pro  ?,4,📝,It seems impossible to use the pro model. it gets rate limited after one call.   Is the only option to pay for the yearly package for $299 to get access to it? 
I_kwDOObWEYM69pqGZ,gemini error,0,🐛, ## Describe the bug A clear and concise description of what the bug is.  ## Additional context Add any other context about the problem here.  ## Diagnostic Inf
I_kwDOObWEYM69pmv3,Add IPC or REST API support for Gemini CLI,0,👍,"### What would you like to be added?  I’d like to see built-in support in Gemini CLI for exposing its capabilities through Inter-Process Communication (IPC), or"
I_kwDOObWEYM69pUVu,Create official GitHub releases and git tags,6,👍,"# The Problem  Currently, there are no official version tags or releases for `gemini-cli`. For downstream package maintainers (e.g., on systems like [NixOS](htt"
I_kwDOObWEYM69pT1t,Internal Server Error,0,🐛,### What happened?  I entered a prompt that is working in the Gemini chatbot with expected output (gemini.google.com). After pasting in the prompt in Gemini CLI
I_kwDOObWEYM69pRn-,Persistent API error,1,🐛,### What happened?  Since yesterday I am unable to use gemini-cli with similar 400 API errors. In essence `only 'enum' and 'date-time' are supported for STRING 
I_kwDOObWEYM69pNvF,Implement resilient rate limiting with circuit breaker pattern and intelligent backoff,4,👎,## Summary  Implement a robust rate limiting system with circuit breaker pattern to prevent infinite loops and provide graceful degradation when hitting API lim
I_kwDOObWEYM69pMeK,optiopn+delete on a mac doesn't work,0,📝,"### What happened?  Ideally option+delete should delete an entire word (behind the cursor). Right now, it doesn't do anything.  ### What did you expect to happe"
I_kwDOObWEYM69pJ3n,Could not discover project ID. Make sure you're authenticated with 'gemini auth'.,0,📝,Getting this randomly.   Could not discover project ID. Make sure you're authenticated with 'gemini auth'.  ¯\_(ツ)_/¯
I_kwDOObWEYM69p8U_,Request failed,0,🐛,"### What happened?  Asked to apply changes and it returned  [API Error: request to https://cloudcode-pa.googleapis.com/v1internal:countTokens failed, reason: ] "
I_kwDOObWEYM69p5qu,登录不成功的原因,3,📝,梯子需要开tun模式
I_kwDOObWEYM69osRn,Allow configurable port number for auth callback,1,👍,https://github.com/google-gemini/gemini-cli/blob/6742a1b7f97033d1301f4159b67ef0d9587f65f2/packages/core/src/code_assist/oauth2.ts#L82   Allow configurable port 
I_kwDOObWEYM69os25,Gemini complains that Deep-seated bug is beyond the scope,0,🐛,"### What happened?  After several steps , gemini complains that Deep-seated bug is beyond the scope as shown in below screenshot: ![Image](https://github.com/us"
I_kwDOObWEYM69oobv,Select Auth Method ->Login with Google -> Failed to login,0,🐛,"### What happened?  Enter in cli,I jump to chrome,logging my google accout. all message: Failed to login. Message: request to https://oauth2.googleapis.com/toke"
I_kwDOObWEYM69okcv,Syntax highlighting swallows characters before '.' in odin and go source files,0,👍,"### What happened?  I asked Gemini to write hello world in odin and it correctly wrote this:  ```odin package main  import ""core:fmt""  main :: proc() {         "
I_kwDOObWEYM69ofui,"Enhanced Performance Monitoring: Startup instrumentation, memory tracking, and detailed metrics collection",0,👍,"## Summary  Enhance the existing telemetry system with comprehensive performance monitoring capabilities, including detailed startup instrumentation, memory usa"
I_kwDOObWEYM69oeXj,"ℹ ⚡ Rate limiting detected. Automatically switching from    gemini-2.5-pro to gemini-2.5-flash for faster responses for the    remainder of this session.  ⠸ Counting electrons... (esc to cancel, 178s)",1,👎,ℹ ⚡ Rate limiting detected. Automatically switching from    gemini-2.5-pro to gemini-2.5-flash for faster responses for the    remainder of this session.  ⠸ Cou
I_kwDOObWEYM69oNAX,Support custom themes,0,👍,### What would you like to be added?  A way for users to define custom color schemes  ### Why is this needed?  Users have multiple pull requests for fun custom 
I_kwDOObWEYM69oLTQ,ℹ ⚡ Rate limiting detected. Automatically switching from gemini-2.5-pro to gemini-2.5-flash for faster responses for the remainder of this session.,4,📝,"After a few prompts, it keeps looping with this responseℹ ⚡ Rate limiting detected. Automatically switching from gemini-2.5-pro to gemini-2.5-flash for faster r"
I_kwDOObWEYM69oHWZ,Support new desktop extension packaging format,0,👍,### What would you like to be added?  Support for desktop extensions   https://www.anthropic.com/engineering/desktop-extensions  ### Why is this needed?  Makes 
I_kwDOObWEYM69oD9b,Next.js dev server doesn't launch,0,📝,"### What happened?  Gives me a message that it is trying to figure out system commands.  <img width=""424"" alt=""Image"" src=""https://github.com/user-attachments/a"
I_kwDOObWEYM69oCZ9,"Unable to append to .md file, Rate limiting detected, switched to 2.5-flash.",0,📝," ## Describe the bug When I requested an addition to markdown, the message ""Rate limiting detected. Automatically switching from gemini-2.5-pro to gemini-2.5-fl"
I_kwDOObWEYM69o8Hs,Don't verify auth every time you open gemini-cli,0,💻,"### What happened?  This is too slow; every time I need to wait for the auth to start. The OAuth mechanism isn't supposed to verify every time, but rather when "
I_kwDOObWEYM69o-Rp,Support Image Content in MCP tool results,0,👍,### What would you like to be added?  Support the [Image Content MCP tool result data type](https://modelcontextprotocol.io/specification/2025-06-18/server/tool
I_kwDOObWEYM69nvpp,Can not switch to Google login auth when API keys are set,0,💻,### What happened?  When an .env file is present with valid Gemini or API keys (and other config settings). Choosing the /auth command then selecting login with
I_kwDOObWEYM69nphb,How to hide [dotenv@16.6.0] injecting env (1) from .gemini/.env message?,0,❓,### What happened?  I run `gemini -v`. The following message always shown:  ``` [dotenv@16.6.0] injecting env (1) from .gemini/.env 0.1.5 ```   ### What did you
I_kwDOObWEYM69noUY,Agent can bypass allowed commands using `&&` command concatenation.,0,👍,"### What happened?  If I allow `pnpm` (or whatever other CLI tool) to always run, the model can also run other CLI tools by doing something like `pnpm build && "
I_kwDOObWEYM69nn-q,CLI Agent does not load latest environment variables.,0,📝,"### What happened?  During a conversation via CLI, I changed my DB URL in my .env, I cancelled the DB Migration action, change my ENV var, then I asked to do th"
I_kwDOObWEYM69nm8P,Silent termination when Gemini API output token limit is reached,0,📝,"### What happened?  The Gemini CLI silently stops generating responses when the API reaches its output token limit, without providing any feedback to the user a"
I_kwDOObWEYM69njSo,Windows: git commit -m with spaces in message causes pathspec error,0,🐛,"### What happened?  On Windows operating systems, when executing `git commit -m ""...""` commands via `gemini-cli`, if the commit message (the string after the `-"
I_kwDOObWEYM69nhPT,Gemini never seems to be able to edit a file,0,📝,"### What happened?   Gemini never seems to be able to edit a file, and when it does it truncates it ![Image](https://github.com/user-attachments/assets/3df77bfe"
I_kwDOObWEYM69nXCr,"│ Failed to login. Message: request to https://oauth2.googleapis.com/token failed, reason: connect ECONNREFUSED 127.0.0.1:443              │",0,🐛,"### What happened?  │ Failed to login. Message: request to https://oauth2.googleapis.com/token failed, reason: connect ECONNREFUSED 127.0.0.1:443              │"
I_kwDOObWEYM69nUOt,`replace` tool fails to modify content within Jupyter Notebook (.ipynb) files,0,🐛,### What happened?  ## Summary  - I was attempting to refactor code within a Jupyter Notebook (.ipynb) file by replacing specific string patterns. - My goal was
I_kwDOObWEYM69nTwW,All night long thinking....,0,👍,"### What happened?  When using gemini-cli to process and apply changes to a React project, the process gets stuck at the ""Confirming Basic Setup"" step after acc"
I_kwDOObWEYM69nTOM,Show costs,3,👍,### What would you like to be added?  Telling me the number of tokens I've used is not helpful without the conversion to cost. Please don't force us to estimate
I_kwDOObWEYM69nOK8,Feature Request: Add configurable file exclusion patterns to prevent access to sensitive files,0,✨,"### Description  Currently, Gemini CLI respects `.gitignore` patterns (as documented in the file system tools), but there's no documented way to configure addit"
I_kwDOObWEYM69nOJb,Can not control/over-ride the initial message to the user on new session.,0,👍,### What happened?  As a test when learning how to add multiple contextFileName (s) in the settings.json I put some random stuff in each of the config files I w
I_kwDOObWEYM69nNPn,Feature: Enhanced file context management system and @help command,0,✨,"### What would you like to be added?  ## Summary  I propose adding a comprehensive file context management system to the Gemini CLI, along with a new `@help` co"
I_kwDOObWEYM69nH66,api fetch error,0,🐛,### What happened?  ![Image](https://github.com/user-attachments/assets/c14a2a10-40ae-47d3-8b95-23103f525fd7)  appreciated to help to solve the issue when run g
I_kwDOObWEYM69nFmg,How to change the api base,0,❓,"### What happened?  Hello,I have google gemini api but the api based is our institute. How to change the api_base_url?  Thanks!  ### What did you expect to happ"
I_kwDOObWEYM69n8bo,Can I login with Google on a server without browser?,1,📝,"When I try to login with Google in a server, it's get stuck on that state. Idealy it should provide the link so that I can copy and open in my browser."
I_kwDOObWEYM69mvYg,WebFetch hangs with wrong URI scheme,0,👎,### What happened?  ``` > Clone julia and fix issue 58346  ✦ I'm cloning the Julia repository now. This will download the project to your system.  ╭────────────
I_kwDOObWEYM69moh7,npx https://github.com/google-gemini/gemini-cli fails silently while npm install -g    @google/gemini-cli works,0,🐛,### What happened?    Description:   The primary installation method in the README (npx https://github.com/google-gemini/gemini-cli)   fails because the GitHub 
I_kwDOObWEYM69mhpg,gemini-cli hanging,2,👎, ## Describe the bug A clear and concise description of what the bug is.  ## Additional context Add any other context about the problem here.  ## Diagnostic Inf
